SerialNumber,ProductName,Product,RepClass,Product Class,INTERFACE
22437,SP542MC42-230R GY UK,SP542MC,SP(x),IMPACT,Parallel
22438,SP542MD42-230R GY UK,SP542MD,SP(x),IMPACT,Serial
22440,SP512M42-120  US,SP512M42,SP(x),IMPACT,No Interface
22441,SP542M42-120  US,SP542M42,SP(x),IMPACT,No Interface
22442,SP512M42-120  GRY US,SP512M42,SP(x),IMPACT,No Interface
22443,SP542M42-120  GRY US,SP542M42,SP(x),IMPACT,No Interface
22450,SP512M42-230  EU,SP512M42-230,SP(x),IMPACT,No Interface
22451,SP542M42-230  EU,SP542M42,SP(x),IMPACT,No Interface
22452,SP512M42-230  GRY EU,SP512M42,SP(x),IMPACT,No Interface
22453,SP542M42-230  GRY EU,SP542M42,SP(x),IMPACT,No Interface
22460,SP512M42-230  UK,SP512M42,SP(x),IMPACT,No Interface
22461,SP542M42-230  UK,SP542M42,SP(x),IMPACT,No Interface
22462,SP512M42-230  GRY UK,SP512M42,SP(x),IMPACT,No Interface
22463,SP542M42-230  GRY UK,SP542M42,SP(x),IMPACT,No Interface
22464,SP500_2,SP500_2,SP(x),IMPACT,No Interface
22470,NLA PDN SP512ML42-120 US,SP512ML42,SP(x),IMPACT,No Interface
22471,NLA PDN SP542MU42-120US,SP542MU42,SP(x),IMPACT,USB
22472,NLA PDN SP512MU42GRY-120U,SP512MU42,SP(x),IMPACT,No Interface
22473,NLA PDN SP542MU42GRY-120U,SP542MU42,SP(x),IMPACT,USB
22480,SP512M42-220  CH,SP512M42,SP(x),IMPACT,No Interface
22481,SP512MU42-220　CH,SP512MU42,SP(x),IMPACT,USB
22482,SP512MU42-220 GRY CH,SP512MU42,SP(x),IMPACT,USB
22490,SP542MC GRY BR,SP542MC BR,SP(x),IMPACT,Parallel
22491,SP542MD GRY BR,SP542MD BR,SP(x),IMPACT,Serial
22492,SP542MU GRY BR,SP542MU BR,SP(x),IMPACT,USB
22493,SP542ME3 GRY BR,SP542ME3BR,SP(x),IMPACT,Ethernet
22494,SP542ME3 GRY BR,SP542ME3BR,SP(x),IMPACT,Ethernet
22495,SP542ME3 GRY BR,SP542ME3BR,SP(x),IMPACT,Ethernet
22500,TSP143IIIW GY US,TSP143IIIW,TSP100,THERMAL,WiFi
22501,TSP828C-24L GRY US,TSP828C,TSP800,THERMAL,Parallel
22502,TSP828UN-24L US,TSP828UN,TSP800,THERMAL,Ethernet
22503,TSP828UN-24L GRY US,TSP828UN,TSP800,THERMAL,Ethernet
22504,TSP828-24L US,TSP828L,TSP800,THERMAL,Ethernet
22505,TSP828-24L GRY US,TSP828L,TSP800,THERMAL,Ethernet
22506,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22507,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22508,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22509,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22510,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22511,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22512,TSP828UN-24LJ1  JP,TSP828UN ,TSP800,THERMAL,USB
22513,TSP828UN-24LJ1GRY JP,TSP828UN,TSP800,THERMAL,USB
22514,TSP828-24LJ1  JP,TSP828L ,TSP800,THERMAL,No Interface
22515,SP742MC GRY US,SP742MC,SP(x),IMPACT,No Interface
22516,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22517,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22518,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22519,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22520,TSP828C-24L  EU,TSP828C,TSP800,THERMAL,Parallel
22521,TSP828C-24L   GRY EU,TSP828C,TSP800,THERMAL,Parallel
22522,TSP828UN-24L  EU,TSP828UN,TSP800,THERMAL,USB
22523,TSP828UN-24L  GRY EU,TSP828UN,TSP800,THERMAL,USB
22524,TSP828-24L  EU,TSP828L,TSP800,THERMAL,No Interface
22525,TSP828-24L  GRY EU,TSP828L,TSP800,THERMAL,No Interface
22526,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22527,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22528,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22529,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22530,TSP828C-24L UK,TSP828C,TSP800,THERMAL,Parallel
22531,TSP828C-24L   GRY UK,TSP828C,TSP800,THERMAL,Parallel
22532,TSP828UN-24L  UK,TSP828UN,TSP800,THERMAL,USB
22533,TSP828UN-24L  GRY UK,TSP828UN,TSP800,THERMAL,USB
22534,TSP828-24L  UK,TSP828L,TSP800,THERMAL,No Interface
22535,TSP828-24L  GRY UK,TSP828L,TSP800,THERMAL,No Interface
22536,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22537,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22538,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22539,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22540,TSP828C-24L  AS,TSP828C,TSP800,THERMAL,Parallel
22541,TSP828C-24L   GRY AS,TSP828C,TSP800,THERMAL,Parallel
22542,TSP828UN-24L  AS,TSP828UN,TSP800,THERMAL,USB
22543,TSP828UN-24L  GRY AS,TSP828UN,TSP800,THERMAL,USB
22544,TSP828-24L  AS,TSP828L,TSP800,THERMAL,No Interface
22545,TSP828-24L  GRY AS,TSP828L,TSP800,THERMAL,No Interface
22546,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22547,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22548,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22549,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22550,TSP828C-24L  CH,TSP828C ,TSP800,THERMAL,Parallel
22551,TSP828C-24L   GRY CH,TSP828C ,TSP800,THERMAL,Parallel
22552,TSP828UN-24L  CH,TSP828UN ,TSP800,THERMAL,USB
22553,TSP828UN-24L  GRY CH,TSP828UN,TSP800,THERMAL,USB
22554,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22555,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22556,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22557,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22558,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22559,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22560,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22561,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22562,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22563,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22564,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22565,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22566,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22567,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22568,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22569,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22570,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22571,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22572,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22573,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22574,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22575,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22576,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22577,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22578,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22579,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22580,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22581,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22582,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22583,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22584,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22585,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22586,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22587,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22588,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22589,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22590,TSP828UN-24GRYWSN  US,TSP828UN,TSP800,THERMAL,USB
22591,TSP828UN-24GRYWSC US,TSP828UN,TSP800,THERMAL,USB
22592,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22593,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22594,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22595,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22596,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22597,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22598,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22599,TSP800L,TSP800L,TSP800,THERMAL,Ethernet
22600,SP712MC,SP712MC,SP(x),IMPACT,Parallel
22601,SP712MC  GRY,SP712MC,SP(x),IMPACT,Parallel
22602,SP712MD,SP712MD,SP(x),IMPACT,Serial
22603,SP712MD  GRY,SP712MD,SP(x),IMPACT,Serial
22604,NLA PDN SP712MD US,SP712MD,SP(x),IMPACT,No Interface
